,"When I work in a group, I do higher quality work.","When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I prefer when one student regularly takes on a leadership role.,I prefer when the leadership role rotates between students.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I prefer to take on tasks that will help me better learn the material.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things.",My group did higher quality work when my group members worked on tasks together.,My group did higher quality work when group members worked on different tasks at the same time.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can change.,"You can learn new things, but you can’t really change your basic physics intelligence."
I prefer when one student regularly takes on a leadership role.,-0.0222,0.1216,0.0002,-0.037,0.0191,-0.043,-0.0149,0.0233,0.0845,0.0242,1.0,-0.1472,0.002,-0.0087,-0.0108,-0.0581,0.032,0.0666,0.073,-0.0617,0.0029,0.088,0.0246,0.0407,0.051,-0.0424,0.0125,-0.0384,0.0091,-0.0345,0.0286,-0.0338
I prefer when the leadership role rotates between students.,0.1939,-0.1373,-0.0701,0.1635,0.1125,-0.0526,0.1971,0.0854,0.1129,0.1344,-0.1472,1.0,-0.0514,0.2402,0.1768,-0.1074,-0.0443,-0.137,-0.0883,0.1849,0.142,-0.0219,0.1948,0.1267,-0.1109,0.2505,-0.0291,0.2333,0.0337,0.0479,0.0726,0.0542
I do not think a group grade is fair.,-0.1996,0.3836,0.3222,-0.2621,-0.1522,0.1007,-0.2898,-0.2907,-0.223,-0.1278,0.002,-0.0514,1.0,-0.0987,-0.1907,0.2429,0.0399,0.3717,0.2346,-0.3174,-0.1365,-0.0254,-0.0585,-0.089,0.2783,-0.1975,0.1017,-0.1705,-0.0707,-0.1039,-0.1206,-0.1372
I try to make sure my group members learn the material.,0.2115,-0.0951,-0.0902,0.2825,0.3209,-0.21,0.2693,0.145,0.314,0.358,-0.0087,0.2402,-0.0987,1.0,0.3268,-0.3206,-0.2221,-0.2392,-0.1224,0.2149,0.1373,0.0363,0.3127,0.3431,-0.1928,0.3382,-0.0423,0.2581,0.0826,0.1547,0.1375,0.1695
I learn to work with students who are different from me.,0.2384,-0.1765,-0.2321,0.3771,0.4319,-0.2306,0.3613,0.2701,0.3608,0.4053,-0.0108,0.1768,-0.1907,0.3268,1.0,-0.3229,-0.2591,-0.374,-0.2121,0.2725,0.1559,0.1708,0.2797,0.4441,-0.2439,0.4387,-0.2101,0.2315,0.2007,0.2501,0.2835,0.259
My group members do not care about my feelings.,-0.2081,0.2886,0.2579,-0.4254,-0.4414,0.3872,-0.3675,-0.2864,-0.5514,-0.382,-0.0581,-0.1074,0.2429,-0.3206,-0.3229,1.0,0.2401,0.4396,0.2792,-0.3338,-0.1307,-0.1534,-0.1865,-0.3208,0.3296,-0.3825,0.1816,-0.2685,-0.1553,-0.1902,-0.1786,-0.2062
I let the other students do most of the work.,-0.0718,-0.052,0.0861,-0.1769,-0.273,0.3062,-0.1421,-0.0885,-0.2907,-0.3684,0.032,-0.0443,0.0399,-0.2221,-0.2591,0.2401,1.0,0.1669,0.0948,-0.1164,-0.0323,-0.111,-0.2103,-0.2469,0.1487,-0.2045,0.2397,-0.1277,-0.0437,-0.2007,-0.1893,-0.1941
I feel working in groups is a waste of time.,-0.347,0.4046,0.4384,-0.4351,-0.3829,0.2112,-0.5039,-0.4247,-0.3964,-0.3077,0.0666,-0.137,0.3717,-0.2392,-0.374,0.4396,0.1669,1.0,0.2693,-0.3872,-0.2161,-0.0826,-0.1568,-0.3017,0.3157,-0.3756,0.1776,-0.2915,-0.1332,-0.1923,-0.1997,-0.1865
I have to work with students who are not as smart as I am.,-0.158,0.3758,0.2662,-0.2594,-0.1984,0.1262,-0.2364,-0.1956,-0.2015,-0.0991,0.073,-0.0883,0.2346,-0.1224,-0.2121,0.2792,0.0948,0.2693,1.0,-0.2741,-0.1339,-0.0256,-0.0772,-0.1644,0.3778,-0.3079,0.1336,-0.1461,-0.0334,-0.1864,-0.091,-0.1936
When I work with other students the work is divided equally.,0.2526,-0.5112,-0.326,0.3931,0.2656,-0.125,0.375,0.4215,0.3103,0.2247,-0.0617,0.1849,-0.3174,0.2149,0.2725,-0.3338,-0.1164,-0.3872,-0.2741,1.0,0.3119,0.1214,0.1277,0.1797,-0.2684,0.3221,-0.1239,0.2377,0.1589,0.0937,0.1166,0.1018
We cannot complete the assignment unless everyone contributes.,0.2137,-0.2161,-0.1475,0.2265,0.1519,0.0218,0.2069,0.2014,0.1136,0.0968,0.0029,0.142,-0.1365,0.1373,0.1559,-0.1307,-0.0323,-0.2161,-0.1339,0.3119,1.0,0.0775,0.1098,0.0871,-0.1248,0.31,-0.0514,0.128,0.0755,0.0171,0.0473,0.0143
I prefer to take on tasks that I’m already good at.,0.0779,-0.025,-0.1011,0.1816,0.2052,-0.1207,0.2079,0.2394,0.1901,0.1979,0.088,-0.0219,-0.0254,0.0363,0.1708,-0.1534,-0.111,-0.0826,-0.0256,0.1214,0.0775,1.0,0.0521,0.1778,0.0179,0.1029,-0.1187,0.0939,0.1413,0.0209,0.0706,0.0448
I prefer to take on tasks that will help me better learn the material.,0.1266,-0.0281,-0.0499,0.2104,0.274,-0.1829,0.1947,0.0961,0.2037,0.2925,0.0246,0.1948,-0.0585,0.3127,0.2797,-0.1865,-0.2103,-0.1568,-0.0772,0.1277,0.1098,0.0521,1.0,0.325,-0.1323,0.2678,-0.1163,0.1867,0.0671,0.2159,0.2628,0.2341
I also learn when I teach the material to my group members.,0.1905,-0.0818,-0.174,0.3357,0.4047,-0.2605,0.3181,0.2167,0.3422,0.442,0.0407,0.1267,-0.089,0.3431,0.4441,-0.3208,-0.2469,-0.3017,-0.1644,0.1797,0.0871,0.1778,0.325,1.0,-0.2145,0.3697,-0.1888,0.2512,0.1716,0.2528,0.2586,0.2032
I become frustrated when my group members do not understand the material.,-0.1843,0.3138,0.2442,-0.2797,-0.2635,0.2117,-0.283,-0.1925,-0.2679,-0.1993,0.051,-0.1109,0.2783,-0.1928,-0.2439,0.3296,0.1487,0.3157,0.3778,-0.2684,-0.1248,0.0179,-0.1323,-0.2145,1.0,-0.2929,0.2081,-0.1517,-0.0588,-0.1971,-0.1474,-0.2083
Everyone’s ideas are needed if we are going to be successful.,0.294,-0.2206,-0.231,0.3997,0.3531,-0.1554,0.4236,0.2718,0.3076,0.354,-0.0424,0.2505,-0.1975,0.3382,0.4387,-0.3825,-0.2045,-0.3756,-0.3079,0.3221,0.31,0.1029,0.2678,0.3697,-0.2929,1.0,-0.1494,0.343,0.1742,0.2049,0.2117,0.1784
"When I work with other students, we spend too much time talking about other things.",-0.0783,0.1234,0.1979,-0.1573,-0.2434,0.2229,-0.1604,-0.0966,-0.2309,-0.2597,0.0125,-0.0291,0.1017,-0.0423,-0.2101,0.1816,0.2397,0.1776,0.1336,-0.1239,-0.0514,-0.1187,-0.1163,-0.1888,0.2081,-0.1494,1.0,-0.0934,-0.0795,-0.2233,-0.1984,-0.1979
My group did higher quality work when my group members worked on tasks together.,0.2571,-0.1675,-0.1821,0.2942,0.2503,-0.1574,0.3374,0.2533,0.2433,0.2164,-0.0384,0.2333,-0.1705,0.2581,0.2315,-0.2685,-0.1277,-0.2915,-0.1461,0.2377,0.128,0.0939,0.1867,0.2512,-0.1517,0.343,-0.0934,1.0,-0.0271,0.1281,0.1154,0.1269
My group did higher quality work when group members worked on different tasks at the same time.,0.1463,-0.0579,-0.1043,0.1563,0.1569,-0.0754,0.1942,0.148,0.1297,0.148,0.0091,0.0337,-0.0707,0.0826,0.2007,-0.1553,-0.0437,-0.1332,-0.0334,0.1589,0.0755,0.1413,0.0671,0.1716,-0.0588,0.1742,-0.0795,-0.0271,1.0,0.059,0.0938,0.0353
"You have a certain amount of physics intelligence, and you can’t really do much to change it.",0.0698,-0.0739,-0.1598,0.1875,0.2885,-0.2896,0.1197,0.1077,0.2606,0.2707,-0.0345,0.0479,-0.1039,0.1547,0.2501,-0.1902,-0.2007,-0.1923,-0.1864,0.0937,0.0171,0.0209,0.2159,0.2528,-0.1971,0.2049,-0.2233,0.1281,0.059,1.0,0.5687,0.7708
Your physics intelligence is something about you that you can change.,0.0866,-0.0651,-0.1382,0.1776,0.2823,-0.2593,0.1176,0.1331,0.2923,0.2907,0.0286,0.0726,-0.1206,0.1375,0.2835,-0.1786,-0.1893,-0.1997,-0.091,0.1166,0.0473,0.0706,0.2628,0.2586,-0.1474,0.2117,-0.1984,0.1154,0.0938,0.5687,1.0,0.545
"You can learn new things, but you can’t really change your basic physics intelligence.",0.0494,-0.0846,-0.1439,0.1745,0.2932,-0.2894,0.0977,0.0929,0.2349,0.2486,-0.0338,0.0542,-0.1372,0.1695,0.259,-0.2062,-0.1941,-0.1865,-0.1936,0.1018,0.0143,0.0448,0.2341,0.2032,-0.2083,0.1784,-0.1979,0.1269,0.0353,0.7708,0.545,1.0
