,"When I work in a group, I do higher quality work.","When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I prefer when one student regularly takes on a leadership role.,I prefer when the leadership role rotates between students.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I prefer to take on tasks that will help me better learn the material.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things.",My group did higher quality work when my group members worked on tasks together.,My group did higher quality work when group members worked on different tasks at the same time.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can change.,"You can learn new things, but you can’t really change your basic physics intelligence."
17,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,-0.6,0.2,-0.6
18,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,-0.2,-0.2,-0.6
19,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.6,0.2,0.2
20,0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,-1.0,0.5,0.0,0.2,0.6,0.6
21,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,-1.0,0.0,1.0,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.0,0.0,0.2,0.2,-0.2
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,-0.2
23,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.2,0.2,0.2
24,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,-1.0,0.5,0.5,0.0,0.5,0.5,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
25,0.5,0.5,0.5,0.5,1.0,-1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.6,0.2,0.2
26,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.5,1.0,1.0,-1.0,1.0,-1.0,0.5,0.5,1.0,1.0,1.0
28,1.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,-1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,-1.0,0.5,0.0,1.0,1.0,0.2,0.6,0.2
29,0.5,0.5,0.5,0.0,1.0,-1.0,0.5,-1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,-1.0,-1.0,0.5,-1.0,0.5,-1.0,0.5,1.0,1.0,-1.0,0.0,-1.0,0.5,0.5,1.0,1.0,1.0
30,0.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,1.0,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.5,0.5,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.6,1.0
31,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.6,0.6,0.2
32,0.5,0.5,-1.0,1.0,1.0,-1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,-1.0,1.0,0.5,0.5,0.5,-0.2,0.6,0.2
33,0.5,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,-1.0,1.0,0.5,1.0,1.0,1.0
34,0.5,1.0,0.5,0.5,0.5,-1.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,-1.0,0.0,-1.0,-1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.6,-0.6,0.2
35,0.5,0.5,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.5,0.5,1.0,0.5,0.5,-1.0,-1.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0
36,0.0,0.5,-1.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.5,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.2,0.6,0.2
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.2,0.2,0.2
38,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.2,-0.2,0.2
39,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.2,0.2,0.2
40,0.5,0.0,-1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,-1.0,-1.0,-1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,-1.0,0.0,1.0,1.0,1.0,1.0
41,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,-1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,-0.6,0.6,-0.6
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2
43,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,-1.0,0.5,0.5,0.2,0.6,0.6
44,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,-1.0,0.5,0.0,0.5,0.5,-1.0,-1.0,0.0,0.5,0.5,1.0,0.5,0.0,-1.0,0.5,-1.0,0.5,1.0,1.0,-1.0,1.0
45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,-1.0,0.5,-1.0,0.0,1.0,-0.2,0.2,-0.2
46,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.5,-1.0,0.0,0.5,0.5,0.0,-0.2,0.6,-0.2
47,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,-1.0,0.5,-1.0,-1.0,1.0,1.0,0.5,0.5,1.0,-1.0,1.0,0.5,1.0,1.0,1.0,0.6,0.6
48,0.5,-1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,0.5,1.0,-0.2,0.2,0.2
49,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.2,0.6,0.2
50,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.0,0.5,-1.0,1.0,1.0,0.5,0.5,0.5,-1.0,0.5,0.5,0.6,0.6,-0.2
51,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,-1.0,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.6,0.6,0.6
52,1.0,0.5,0.5,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
53,0.5,1.0,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.6,1.0
54,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.5,-1.0,-1.0,0.0,0.5,-1.0,0.5,0.5,1.0,0.0,1.0,-1.0,0.0,0.5,0.6,0.6,1.0
55,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,-1.0,0.0,0.0,1.0,1.0,1.0
57,0.0,0.5,0.0,0.5,1.0,-1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.0,-1.0,0.5,-1.0,1.0,0.5,1.0,-1.0,1.0,-1.0,1.0,1.0,0.6,0.6,0.6
58,0.5,0.5,1.0,-1.0,-1.0,1.0,-1.0,0.0,0.5,-1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,-1.0,1.0
59,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.2,-0.2,-0.2
60,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,-1.0,0.5,1.0,0.5,1.0,0.0,0.5,-1.0,0.5,0.0,1.0,-1.0,0.6
61,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.5,-1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,-1.0,1.0,0.0,1.0,1.0,1.0
62,1.0,1.0,1.0,0.5,0.0,0.0,0.5,-1.0,0.0,0.5,1.0,0.5,0.0,-1.0,0.5,0.0,1.0,1.0,1.0,-1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.6,0.2
63,-1.0,1.0,0.0,-1.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,-0.6,0.6
65,-1.0,0.5,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2
68,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.6,0.2,0.2
69,0.5,0.0,0.5,1.0,0.5,-1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.6,0.6,0.6
70,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,-1.0,-1.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,-1.0,-1.0,0.5,0.0,-0.2,1.0,0.6
71,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,-1.0,0.5,0.5,0.5,-1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6
72,0.5,0.0,0.5,0.5,0.5,-1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,-1.0,1.0,0.5,-1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,-0.2,0.2,0.2
73,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,-1.0,-1.0,0.5,-1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0
74,0.0,0.5,0.5,0.5,0.5,-1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,0.6,1.0,0.6
75,0.5,0.5,0.5,1.0,1.0,-1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,-1.0,-1.0,-1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,-0.6,0.6
76,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,-1.0,0.0,-1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.2,0.2,-0.2
77,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,-0.2,0.2,0.2
78,1.0,0.0,0.5,-1.0,0.5,0.0,0.0,0.0,0.5,-1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,-1.0,0.5,0.0,1.0,0.5,0.0,0.5,0.2,-0.2,1.0
79,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,-1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.2,0.2,-0.2
80,0.5,0.5,0.5,0.5,1.0,-1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,-1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,-0.2,-0.2,-0.2
81,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,-1.0,-1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.6,0.6,-0.6
82,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.2,0.6,0.2
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6
85,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,1.0,0.5,0.0,0.0,0.5,0.5,1.0,-1.0,0.5,0.5,1.0,1.0,1.0
86,0.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,-1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,-0.6,-0.2,-0.6
88,0.5,0.5,1.0,1.0,0.5,-1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,-1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.6,1.0,0.6
90,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,-1.0,-1.0,-1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.6,0.6,0.2
91,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.2,0.2,0.2
92,1.0,-1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.5,1.0,0.5,0.5,1.0,-1.0,0.5,0.5,0.5,0.6,-0.2,0.6
93,0.0,0.0,0.5,0.5,0.5,-1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.5,-1.0,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,-1.0,1.0,0.5,0.2,1.0,0.2
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,-0.2
95,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.5,-1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.6,1.0,0.6
96,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,-1.0,0.0,0.0,0.5,-0.2,0.2,0.2
97,1.0,0.0,0.5,0.5,1.0,-1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,-1.0,-1.0,0.5,0.5,1.0,0.5,1.0,-1.0,1.0,0.5,0.5,0.5,0.6,-1.0,0.6
98,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.6,1.0
99,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.2,-0.6,0.2
100,0.5,0.0,-1.0,0.5,1.0,-1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.6,0.6,-0.2
101,0.0,0.5,0.5,0.5,1.0,-1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.5,-1.0,-1.0,0.5,0.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
