,"When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I prefer to take on tasks that will help me better learn the material.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can change.,"You can learn new things, but you can’t really change your basic physics intelligence."
16,3.0,3.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,4.166666666666667,4.166666666666667,4.166666666666667
17,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,1.6666666666666667,3.3333333333333335,1.6666666666666667
18,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,2.5,2.5,1.6666666666666667
19,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.166666666666667,3.3333333333333335,3.3333333333333335
20,2.0,2.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,3.3333333333333335,4.166666666666667,4.166666666666667
21,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,3.3333333333333335,3.3333333333333335,2.5
22,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.3333333333333335,2.5
23,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.3333333333333335,3.3333333333333335,3.3333333333333335
24,2.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0
25,4.0,2.0,4.0,1.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,4.166666666666667,3.3333333333333335,3.3333333333333335
26,2.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
28,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0,3.3333333333333335,4.166666666666667,3.3333333333333335
29,4.0,2.0,3.0,1.0,4.0,1.0,5.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0
30,1.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0,4.166666666666667,5.0
31,4.0,4.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.166666666666667,4.166666666666667,3.3333333333333335
32,2.0,1.0,5.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,1.0,5.0,2.5,4.166666666666667,3.3333333333333335
33,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0
34,5.0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,5.0,4.166666666666667,1.6666666666666667,3.3333333333333335
35,2.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0
36,2.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,3.3333333333333335,4.166666666666667,3.3333333333333335
37,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.3333333333333335,3.3333333333333335,3.3333333333333335
38,4.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.3333333333333335,2.5,3.3333333333333335
39,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.3333333333333335,3.3333333333333335,3.3333333333333335
40,3.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
41,3.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,1.6666666666666667,4.166666666666667,1.6666666666666667
42,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.3333333333333335,2.5,3.3333333333333335
43,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.3333333333333335,4.166666666666667,4.166666666666667
44,2.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,5.0,0.8333333333333334,5.0
45,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,2.5,3.3333333333333335,2.5
46,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,2.0,1.0,3.0,2.5,4.166666666666667,2.5
47,2.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,4.166666666666667,4.166666666666667
48,1.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,5.0,3.0,5.0,1.0,3.0,2.5,3.3333333333333335,3.3333333333333335
49,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.3333333333333335,4.166666666666667,3.3333333333333335
50,2.0,2.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,5.0,5.0,4.0,2.0,4.0,4.166666666666667,4.166666666666667,2.5
51,4.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.166666666666667,4.166666666666667,4.166666666666667
52,2.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0
53,5.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,4.166666666666667,5.0
54,2.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,5.0,3.0,5.0,4.166666666666667,4.166666666666667,5.0
55,3.0,2.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,1.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0
57,4.0,3.0,4.0,1.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,5.0,1.0,5.0,4.166666666666667,4.166666666666667,4.166666666666667
58,2.0,5.0,1.0,5.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,5.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0,0.8333333333333334,5.0
59,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.5,2.5,2.5
60,4.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,5.0,4.0,5.0,3.0,4.0,5.0,0.8333333333333334,4.166666666666667
61,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0
62,5.0,5.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,3.0,5.0,5.0,1.0,5.0,4.0,3.0,4.0,4.0,3.0,4.166666666666667,4.166666666666667,3.3333333333333335
63,5.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.3333333333333335,1.6666666666666667,4.166666666666667
65,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0
66,2.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0
67,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.3333333333333335,2.5,3.3333333333333335
68,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.166666666666667,3.3333333333333335,3.3333333333333335
69,3.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.166666666666667,4.166666666666667,4.166666666666667
70,1.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,1.0,2.0,3.0,2.0,5.0,3.0,4.0,3.0,1.0,2.5,5.0,4.166666666666667
71,3.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,4.166666666666667
72,3.0,2.0,4.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,2.5,3.3333333333333335,3.3333333333333335
73,4.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0
74,2.0,2.0,4.0,1.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.166666666666667,5.0,4.166666666666667
75,2.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.166666666666667,1.6666666666666667,4.166666666666667
76,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,3.3333333333333335,3.3333333333333335,2.5
77,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,2.5,3.3333333333333335,3.3333333333333335
78,3.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,4.0,5.0,5.0,5.0,2.0,2.0,5.0,3.0,1.0,2.0,3.0,5.0,3.3333333333333335,2.5,5.0
79,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.3333333333333335,3.3333333333333335,2.5
80,4.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,2.0,2.5,2.5,2.5
81,3.0,2.0,4.0,2.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.166666666666667,4.166666666666667,1.6666666666666667
82,4.0,5.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.3333333333333335,4.166666666666667,3.3333333333333335
83,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.166666666666667,4.166666666666667
85,2.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0
86,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,3.0,1.6666666666666667,2.5,1.6666666666666667
88,2.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,4.166666666666667,5.0,4.166666666666667
90,4.0,2.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,1.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.166666666666667,4.166666666666667,3.3333333333333335
91,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.3333333333333335,3.3333333333333335,3.3333333333333335
92,1.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,5.0,3.0,1.0,3.0,4.0,5.0,4.0,4.0,5.0,1.0,4.166666666666667,2.5,4.166666666666667
93,3.0,2.0,4.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.3333333333333335,5.0,3.3333333333333335
94,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.5,3.3333333333333335,2.5
95,4.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.166666666666667,5.0,4.166666666666667
96,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,1.0,2.5,3.3333333333333335,3.3333333333333335
97,3.0,2.0,4.0,1.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,4.166666666666667,0.8333333333333334,4.166666666666667
98,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,4.166666666666667,5.0
99,3.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.3333333333333335,1.6666666666666667,3.3333333333333335
100,3.0,1.0,2.0,1.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,2.0,4.166666666666667,4.166666666666667,2.5
101,4.0,4.0,4.0,1.0,4.0,2.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0
102,2.0,5.0,4.0,1.0,3.0,1.0,5.0,5.0,2.0,5.0,2.0,1.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,4.166666666666667,4.166666666666667,4.166666666666667
103,4.0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.3333333333333335,4.166666666666667,2.5
104,4.0,4.0,3.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,4.166666666666667,4.166666666666667,4.166666666666667
105,3.0,2.0,4.0,1.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0
106,3.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,4.166666666666667,4.166666666666667,4.166666666666667
107,2.0,1.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0
108,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,0.8333333333333334
109,3.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.166666666666667,3.3333333333333335,1.6666666666666667
110,2.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,3.3333333333333335,4.166666666666667,3.3333333333333335
111,1.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,1.0,4.0,5.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0
112,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.8333333333333334,3.3333333333333335,3.3333333333333335
113,2.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,4.166666666666667,4.166666666666667,1.6666666666666667
114,4.0,2.0,4.0,1.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,4.166666666666667,4.166666666666667,4.166666666666667
115,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6666666666666667,3.3333333333333335,2.5
116,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
117,2.0,1.0,5.0,1.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,2.0,1.0,5.0,2.0,4.0,5.0,5.0,2.0,4.0,5.0,0.8333333333333334,5.0
118,3.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,5.0,1.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0
119,2.0,2.0,5.0,1.0,2.0,5.0,5.0,4.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,5.0,4.166666666666667,4.166666666666667
120,1.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.3333333333333335,2.5,1.6666666666666667
121,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.166666666666667,4.166666666666667
122,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0
123,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5,3.3333333333333335,2.5
124,4.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.166666666666667,4.166666666666667
125,3.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,1.0,1.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,4.0,3.3333333333333335,3.3333333333333335,2.5
126,1.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0
127,2.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,2.5,3.3333333333333335,3.3333333333333335
128,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.3333333333333335,3.3333333333333335,3.3333333333333335
129,3.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.3333333333333335,3.3333333333333335,4.166666666666667
