StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q2.2,Q2.3,Q2.4,Q2.6,Q2.7,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q7.2,Q7.3,Q7.4,Q7.5,Q7.6,Q7.7,Q8.2,Q8.3,Q8.4,Q9.2,Q9.2_4_TEXT,Q9.3,Q9.3_7_TEXT,Q9.3a,Q9.3b,Q9.3b_10_TEXT,Q9.3c,Q9.3c_10_TEXT,Q9.3d,Q9.3d_10_TEXT,Q9.3e,Q9.3e_10_TEXT,Q9.3f,Q9.3f_10_TEXT,Q9.3g,Q9.3g_10_TEXT,Q9.4,Q9.4_4_TEXT
2022-11-28 09:02:29,2022-11-28 09:05:10,IP Address,100,160,True,2022-11-28 09:05:10,R_26eHcJn7RH2Har7,anonymous,EN,PHY105N,57105,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Female,,Asian,,,Korean,,,,,,,,,,,,Bachelor’s degree,
2022-11-28 09:22:34,2022-11-28 09:25:13,IP Address,100,158,True,2022-11-28 09:25:14,R_2xIRwKfHVxeQe16,anonymous,EN,PHY105M,57021,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Neither agree nor disagree,Strongly agree,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
2022-11-28 09:26:31,2022-11-28 09:29:21,IP Address,100,169,True,2022-11-28 09:29:21,R_9tUkZoA10eMvYbv,anonymous,EN,PHY105M,57025,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat agree,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
2022-11-28 09:05:33,2022-11-28 09:29:43,IP Address,100,1449,True,2022-11-28 09:29:44,R_2TLVfQtNBNphH7B,anonymous,EN,PHY105N,57195,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Disagree,Agree,Disagree,Male,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Some college but no degree,
2022-11-28 09:32:34,2022-11-28 09:37:02,IP Address,100,268,True,2022-11-28 09:37:03,R_28YbiLXjfzoUh0u,anonymous,EN,PHY105M,56940,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,,Somewhat agree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Male,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Master’s degree or above,
2022-11-28 09:35:33,2022-11-28 09:39:17,IP Address,100,224,True,2022-11-28 09:39:18,R_10vcvGLbrrwdvB7,anonymous,EN,PHY105M,56960,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Somewhat disagree,Female,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",,,,,,,,,,,,Bachelor’s degree,
2022-11-28 09:48:29,2022-11-28 09:52:48,IP Address,100,258,True,2022-11-28 09:52:49,R_2VlRxTif5V6ZPFv,anonymous,EN,PHY105M,56960,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Neither agree nor disagree,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Female,,Black or African American,,,,,Nigerian,,,,,,,,,,Master’s degree or above,
2022-11-28 10:06:03,2022-11-28 10:08:44,IP Address,100,160,True,2022-11-28 10:08:45,R_3DjfNydKLvYhKOu,anonymous,EN,PHY105N,57095,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Female,,Asian,,,Vietnamese,,,,,,,,,,,,High school,
2022-11-28 10:08:05,2022-11-28 10:12:48,IP Address,100,282,True,2022-11-28 10:12:49,R_22WbWJtU5tbUFJ9,anonymous,EN,PHY105M,57024,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
2022-11-28 10:33:02,2022-11-28 10:36:46,IP Address,100,224,True,2022-11-28 10:36:47,R_22LgwKZfLA8jQ2m,anonymous,EN,PHY105M,56865,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Somewhat agree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,High school,
2022-11-28 10:57:42,2022-11-28 11:00:49,IP Address,100,186,True,2022-11-28 11:00:49,R_sR9334j9IjsGcbn,anonymous,EN,PHY105M,56895,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,Somewhat disagree,Somewhat agree,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Female,,Asian,,,Korean,,,,,,,,,,,,Master’s degree or above,
2022-11-28 11:05:55,2022-11-28 11:10:26,IP Address,100,271,True,2022-11-28 11:10:27,R_3MEu8xQFg2Og9Ik,anonymous,EN,PHY105M,56940,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Female,,White,,,,,,,,,,,,,"Some other White race or ethnicity
Print, for example, Scottish, Norwegian, Dutch, etc.</spa","Scottish, Finnish",Master’s degree or above,
2022-11-28 09:08:23,2022-11-28 11:13:00,IP Address,100,7476,True,2022-11-28 11:13:01,R_ehvBSXwGEmFEz5L,anonymous,EN,PHY105M,56975,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,,Somewhat agree,,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Female,,Middle Eastern or North African,,,,,,,,,Iranian,,,,,,Bachelor’s degree,
2022-11-28 11:11:52,2022-11-28 11:25:25,IP Address,100,812,True,2022-11-28 11:25:25,R_vZUXYcEX9GghmtH,anonymous,EN,PHY105M,56835,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat agree,Neither agree nor disagree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Female,,"Hispanic, Latino, or Spanish",,,,,,,"Some other Hispanic, Latino, or Spanish race or ethnicity
Print, for example, Guatemalan, Spaniard, Ecuadorian, etc.",Hispanic,,,,,,,Associate's or technical degree,
2022-11-28 11:28:59,2022-11-28 11:31:34,IP Address,100,155,True,2022-11-28 11:31:35,R_2Enw0rQ2kntKAEN,anonymous,EN,PHY105M,57025,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,Somewhat disagree,Somewhat agree,Somewhat disagree,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,Disagree,Male,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
2022-11-28 11:52:44,2022-11-28 11:57:11,IP Address,100,267,True,2022-11-28 11:57:12,R_W9z542Ts2CMs7iF,anonymous,EN,PHY105M,57027,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,,Somewhat agree,Strongly disagree,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Female,,Some other race or ethnicity,nigerian,,,,,,,,,,,,,,Bachelor’s degree,
2022-11-28 12:00:48,2022-11-28 12:04:37,IP Address,100,228,True,2022-11-28 12:04:37,R_2Ptd1co6VPRhntx,anonymous,EN,PHY105M,56825,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Female,,"Hispanic, Latino, or Spanish",,,,,,,Cuban,,,,,,,,High school,
